80,0,HD 720p,Nichijou,26,0,0,9848869212,1,Nichijou,2015-01-19,Spring,2011,10,21,59,Doki,,
81,0,HD 720p,Nobunagun,13,0,0,4389910869,1,Nobunagun,2016-03-24,Winter,2014,5,7,26,HorribleSubs,,Not Hsubs
82,0,HD 720p,Nodame Cantabile (Season 1),23,0,1,0,1,Nodame Cantabile (Season 1),2015-04-08,,,9,0,25,Anime-Keep,,
83,0,HD 720p,Nodame Cantabile Finale (Season 3),11,1,1,0,3,Nodame Cantabile (Season 1),2015-04-16,,,4,48,41,Frostii,,
84,0,HD 720p,Nodame Cantabile Paris-hen (Season 2),11,1,0,0,2,Nodame Cantabile (Season 1),2015-04-13,,,4,30,15,"ANBU, Anime-Keep",,
85,0,HD 720p,Nogizaka Haruka No Himitsu,12,0,0,0,1,Nogizaka Haruka No Himitsu,2013-04-07,,,4,22,3,,,
86,0,HD 720p,Nogizaka Haruka No Himitsu Purezza,12,0,0,0,2,Nogizaka Haruka No Himitsu,2013-04-11,,,4,58,27,,,
87,0,HD 720p,Noragami,12,0,0,5172115229,1,Noragami,2014-06-21,Winter,2014,4,50,17,,,
88,0,HD 720p,Nyan Koi!,12,0,0,5115002689,1,Nyan Koi!,2014-06-12,,,4,50,44,,,
89,0,HD 720p,Onee-chan ga Kita!,12,0,1,887105350,1,Onee-chan ga Kita!,2015-01-05,Winter,2014,0,40,24,Asenshi,,
90,0,HD 720p,Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne,12,0,0,2600968426,1,Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne,2013-09-08,,,4,54,0,,,
91,0,HD 720p,Ookami Kodomo no Ame to Yuki,1,0,0,1895067442,1,Ookami Kodomo no Ame to Yuki,2015-05-20,,,1,57,2,Commie,,
92,0,HD 720p,Ore no Imouto ga Konnani Kawaii Wake ga Nai,16,0,0,0,1,Ore no Imouto ga Konnani Kawaii Wake ga Nai,2013-06-06,Fall,2010,7,2,9,,,
93,0,HD 720p,Ore no Kanojo to Osananajimi ga Shurabasugiru,13,0,0,7805298612,1,Ore no Kanojo to Osananajimi ga Shurabasugiru,2013-11-03,,,5,7,26,,,
94,0,HD 720p,Papa no Iukoto wo Kikinasai!,12,1,0,4786145278,1,Papa no Iukoto wo Kikinasai!,2014-06-10,,,5,6,38,,,
95,0,HD 720p,Persona 4 - The Animation,26,1,0,0,2,Persona 1 - Trinity Soul,2015-06-21,,,11,7,40,Commie,,
96,0,HD 720p,Photokano,13,0,0,4000788035,1,Photokano,2014-06-10,Spring,2013,5,13,33,,,
97,0,HD 720p,Pokemon The Origin,1,0,0,1820258900,1,Pokemon The Origin,2015-07-25,,,1,31,54,,,
98,0,HD 720p,Psycho-Pass,22,0,0,0,1,Psycho-Pass,2015-08-23,Fall,2012,8,24,9,Commie,,
99,0,HD 720p,Psycho-Pass 2,11,0,0,0,2,Psycho-Pass,2015-11-20,Fall,2014,4,7,1,Commie,,
100,0,HQ 480p,Joshikousei,12,0,3,2325657902,1,Joshikousei,2013-05-10,,,5,8,11,,,
101,0,HQ 480p,Omamori Himari,12,0,0,2423318739,1,Omamori Himari,2014-01-08,,,4,44,57,,,
102,0,LQ 360p,Kanokon,12,0,0,0,1,Kanokon,2012-05-02,,,,,,,,HD 720p
103,0,LQ 360p,Kanokon - Manatsu no Dai Shanikusai (OVA),2,0,0,0,0,Kanokon,2012-05-04,,,,,,,,HD 720p
104,0,LQ 360p,Kanon,24,0,0,1206029695,1,Kanon,2012-12-26,,,,,,,,HD 720p
105,0,LQ 360p,Katekyo Hitman Reborn!,203,0,0,10435858309,1,Katekyo Hitman Reborn!,2014-10-28,,,79,56,40,,,
106,0,LQ 360p,Kimi Ga Aruji De Shitsuji Ga Ore De,13,0,0,671219731,1,Kimi Ga Aruji De Shitsuji Ga Ore De,2013-03-03,,,5,19,17,,,HD 720p
107,0,LQ 360p,Kodomo no Jikan,12,4,0,1390427359,1,Kodomo no Jikan,2013-02-27,,,5,54,36,,,HQ 480p
108,0,LQ 360p,Koharu Biyori,3,0,0,239307157,1,Koharu Biyori,2012-11-03,,,,,,,,
109,0,LQ 360p,La Corda D' Oro,28,0,0,1140794207,1,La Corda D' Oro,2012-10-29,,,,,,,,
110,0,LQ 360p,Ladies vs Butlers,12,0,1,719854024,1,Ladies vs Butlers,2012-11-22,,,,,,,,HD 720p
111,0,LQ 360p,Lovely Complex,24,0,0,1315220278,1,Lovely Complex,2012-12-30,,,,,,,,
112,0,LQ 360p,Lucky Star,24,0,1,1521655969,1,Lucky Star,2012-12-04,,,,,,,,HD 720p
113,0,LQ 360p,Mayoi Neko Overrun!,13,0,0,837972378,1,Mayoi Neko Overrun!,2012-04-21,Spring,2010,,,,,,HD 720p
114,0,LQ 360p,Nagasarete Airantou,26,0,0,1489281199,1,Nagasarete Airantou,2012-05-02,,,,,,,,HD 720p
115,0,LQ 360p,Nanaka 6-17,12,0,1,646679926,1,Nanaka 6-17,2013-04-22,,,5,25,51,,,HQ 480p
116,0,LQ 360p,Naruto,220,0,0,0,1,Naruto,2013-04-19,,,83,10,1,,,
117,0,LQ 360p,Onegai Teacher,12,0,0,675892106,1,Onegai Teacher,2012-04-22,,,4,25,15,,,
118,0,LQ 360p,Onii-chan No Koto Nanka Zenzen Suki Janain Dakara Ne,12,0,0,965276887,1,Onii-chan No Koto Nanka Zenzen Suki Janain Dakara Ne,2012-04-18,Winter,2011,4,19,38,,,HD 720p
119,0,LQ 360p,Ore-tachi Ni Tsubasa Wa Nai,12,0,0,1030103823,1,Ore-tachi Ni Tsubasa Wa Nai,2012-04-21,Spring,2011,4,52,58,,,
120,0,LQ 360p,Otome Wa Boku Ni Koishiteru,13,0,0,669279215,1,Otome Wa Boku Ni Koishiteru,2013-02-24,Fall,2006,5,11,40,,,HD 720p
121,0,LQ 360p,Persona 1 - Trinity Soul,26,0,0,,1,Persona 1 - Trinity Soul,2012-04-12,,,10,26,28,,,
122,0,FHD 1080p,Rail Wars!,12,0,0,17055447496,1,Rail Wars!,2016-02-21,,,4,49,31,FFF,,
123,0,FHD 1080p,Red Data Girl,12,0,0,12469446322,1,Red Data Girl,2015-02-14,Spring,2013,4,56,23,,RDG,
124,0,FHD 1080p,Rio - Rainbow Gate!,13,0,1,13143671328,1,Rio - Rainbow Gate!,2014-05-11,Winter,2011,5,33,7,,,
125,0,FHD 1080p,Rokujouma no Shinryakusha,12,0,0,13386925092,1,Rokujouma no Shinryakusha,2016-11-02,Summer,2014,4,44,1,FFF,Rokujiuma no Shinryakusha,
126,0,FHD 1080p,Saki Achiga-hen - Episode of Side-A,16,0,0,4300959023,2,Saki,2016-01-28,Spring,2012,6,51,45,Underwater-FFF,,
127,0,FHD 1080p,Seitokai Yakuindomo,13,0,0,8001048496,1,Seitokai Yakuindomo,2013-04-19,Summer,2010,5,7,29,,,
128,0,FHD 1080p,Seitokai Yakuindomo Bleep,13,0,0,7370152668,2,Seitokai Yakuindomo,2015-03-20,Winter,2014,5,7,43,HorribleSubs,SYD*,Not Hsubs
129,0,FHD 1080p,Servant x Service,13,0,0,9598881110,1,Servant x Service,2014-09-07,Summer,2013,5,10,50,,,
130,0,FHD 1080p,Shigatsu wa Kimi no Uso,22,0,0,20500224576,1,Shigatsu wa Kimi no Uso,2016-12-22,Fall,2014,8,23,46,LNS-Tsundere,Your Lie in April,
131,0,FHD 1080p,Shinryaku! Ika Musume,12,0,2,11837529063,1,Shinryaku! Ika Musume,2015-03-21,Fall,2010,4,57,5,FFF,,
132,0,FHD 1080p,Shinryaku! Ika Musume S2,12,0,0,10579839128,2,Shinryaku! Ika Musume,2015-05-27,,,4,46,56,FFF,Shinryaku!? Ika Musume,
133,0,FHD 1080p,Shokugeki no Souma,24,0,0,36589079279,1,Shokugeki no Souma,2016-06-17,Spring,2015,7,57,18,FFF,,
134,0,FHD 1080p,Sora no Method,13,1,0,11861784407,1,Sora no Method,2016-04-29,Fall,2014,5,20,47,LNS,,
